description,youtube,title,organiztion,category,ps number,domain bucket,img
" Innovative online tools for comprehensive financial inclusion of women. Design of system to provide periodic guidance to women in their rural language or various financial tools like banking and stock trading, etc.",,Innovative online tools for comprehensive financial inclusion of women,Ministry of Women and Child Development,Software,AS122,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Innovative apps for women safety specially in cyber space. Design innovative methods to prevent blackmailing and frauds done for women specific cases. Enable to detect if a woman's profile is being used somewhere without consent of the woman.
",,Innovative apps for women safety specially in cyber space,Ministry of Women and Child Development,Software,AS123,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Promoting holistic nutrition among women and children through/with the help of IT for Poshan Abhiyaan. Design a system for health worker to monitor and trigger alarms if some women/child have not come for upcoming dose. Additionally, if mobile number of the patient is registered then provide notification to them to get the dose.
",,Promoting holistic nutrition among women and children through/with the help of IT for Poshan Abhiyaan,Ministry of Women and Child Development,Software,AS124,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" In order to simplify the process of e-tendering and to make the system cost effective and user friendly, the EVC (electronic verification code) system are required to be performed through Aadhaar based OTP, instead of existing Digital Signature Certificate. Design efficient solutions that enable use of Aadhar OTP and DigiLocker for sharing the documents for eTendering. Check https://maharashtra.etenders.in/tnduploads/mah/pressnotices/FAQ.html
",,"Simplification of the process of e-tendering in EVC (electronic verification code) system, replacing Digital Signature Certificate by Aadhaar based OTP.
",Tripura Institute of Technology,Software,DB126,Miscellaneous,https://www.sih.gov.in/uploads/logo/20191130110355.jpg
" ""We can map all the retail outlets on Google Map and can have a application connected to fuel tank sensor which will generate an automated message and path may pop up regarding the nearest fuel station with details of fuel prices and the total fuel to be top up for covering the remaining distance if the fuel level drops a particular level.
Design an application to recommend when to fuel the vehicle and what petrol pump to use. Provide facility to provide ratings to the fuel station and recommend fuel station based on the ratings.""",,Technological advances for Retail Outlets,Ministry of Petroleum and Natural Gas,Software,AJ128,Energy / Renewable Energy,https://www.sih.gov.in/uploads/logo/no_image.png
" A software can be developed for Dispensing Unit of petrol pump, which would have a feature to convey the customer about the actual quantity product delivered to the customer after fuelling. Similarly about the quality of product, if the product is off specification. This sensor should have a facility to meausre the fuel quality and quantity and display it along with some quality parameters too.",,Technological advances for Retail Outlets,Ministry of Petroleum and Natural Gas,Software,AJ129,Smart Communication,https://www.sih.gov.in/uploads/logo/no_image.png
" ""Timing error estimation and matched filtering are crucial processing blocks in a communication receiver. The problem is like looking for the occurrence of a known signal in the observed/measured signal, which is noisy and distorted. This nature of problem makes it best suited for intelligent approach, as human brain invariably solves this kind of problem in day-to-day life. Classical techniques like maximum likelihood, Early-Late, Gardener and Muller approaches have been successfully implemented. However, it is perceived that machine learning techniques will outperform the classical approaches and this fact needs to be researched. The neural network shall use minimum computation and converge fast for practical and real-time implementation. If the results are promising, it can be applied for military and commercial radars.
Design a proof of concept that can be used to prove that AI can be used to solve above problems and provide significant help to such radars""
",,"Timing error estimation and matched filtering are crucial processing blocks in a communication receiver. The problem is like looking for the occurrence of a known signal in the observed/measured signal, which is noisy and distorted. This nature of problem makes it best suited for intelligent approach, as human brain invariably solves this kind of problem in day-to-day life. Classical techniques like maximum likelihood, Early-Late, Gardener and Muller approaches have been successfully implemented. However, it is perceived that machine learning techniques will outperform the classical approaches and this fact needs to be researched. The neural network shall use minimum computation and converge fast for practical and real-time implementation. If the results are promising, it can be applied for military and commercial radars.","Dte of IT & Cyber Security, DRDO",Software,CK132,Smart Communication,https://www.sih.gov.in/uploads/logo/20191211151605.png
" prisoners are segregated in different wards as per Punjab Jail Manual.But it is the tendencies of a few bad elements to leave the barracks on the pretext of availing Medical Services,Canteen Services, telephone Services etc. and going to some others barracks to receive or to distribute or to prepare a prohibited article. prison Department wants to put some Bio-ID based gates turnstiles which can identify the prisoner ,whether he reached to the designated place of service for which he was permitted . The Bio-Id of inmates is available in web based application with Demographic detail of inmates. Technological Solutions on this issue may be developed through Living Lab.",,Tracking and Control of inmate inside the Jail,Directorate of Technical Education Chandigarh,Software,SS134,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Goa is a major tourist destination which pulls thousands of tourists every year. Goa is known for its beautiful beaches and hospitality. There are a number of monuments and landmarks depicting the cultural, history and development of Goa.
Due to high inflow of domestic as well as international tourists, the manpower required to guide the tourist on these landmark is not sufficient and sometimes lack in the information that need to be given and highlighted to the tourist. 
Hence we propose the problem of developing a mobile application which renders information about the monument or landmark just by taking their live pictures as inputs. In other word, the application should allow the user to click a photograph and based on the picture it should display information about the monument/landmark.
The application should also notify the user about such monuments/landmarks in the vicinity.
The app should also allow the user to give their inputs about the object and also add to knowledge creation about the monuments/landmark.
The app should also be able to keep statics about the number of users referring to the monument/landmark along with details of the users.",,Virtual Tourist Guide,Govt of Goa,Software,DR135,Travel and Tourism,https://www.sih.gov.in/uploads/logo/no_image.png
" Lot of navigation apps like Google map are available for navigation but none of them support navigation inside a building by taking into account rooms, corridor and floors. The challenge is to create an app that would show a navigation path in the real world on your mobile device screen. This technology is beneficial to everyday citizens because it allows one to accurately navigate to a specific location in a building they have never been to before, such as government offices,a classroom in a campus, malls/retail store to show customers the items they would want to purchase etc.",,Indoor Navigation App,"Dte of IT & Cyber Security, DRDO",Software,CK139,Software - Web App development,https://www.sih.gov.in/uploads/logo/20191211151605.png
" The act of research sets the course for the development of any product or service. Without comprehensive research, all stages that follow in research activities could be greatly affected. Finding the required information for research can be difficult as the resources and information on internet and otherwise are often located in dispersed places, and accessing the right content can be time consuming. 

In this context, a single State research portal is needed to be designed in a manner that it can serve as a one-stop research portal for all the State Universities and colleges comprising the essential areas/parameters. Few of the areas to be incorporated are as given below:
a.	Navigating to information: It should be built on user experience best practices. As researchers are used to accessing websites (whether in their personal or professional lives) that respond to their screen size and are optimized for mobile, but also contain ideal user experience elements to make it easy to navigate (think single search bar front and center, clear organization of content etc.). 
b.	Uploading research, discovery of and access to information:  It should be a user-friendly research portal wherein the researchers can search and discover the right information and content for their work. They also be able to upload their research work university/college/miscellaneous wise which may further be categorized department/areas of study wise. 

A discovery service is the next tool to consider integrating into research portal. Consider how metadata is used, the methodology around searching and retrieving search results, how the tool anticipates users’ needs, and what can be integrated into the discovery tool. 

c.	Authentication: As research and collection of information resources become increasingly digital, authentication will be a key component to ensure the security of users and their content. For example, your collection may offer users access to various publisher or research platforms/portals that all have varying requirements for authentication. Entry into these resources is expected to be seamless and intuitive by researchers.",,"Design State Research Portal, a single point securely hosted solution to seamlessly integrate search and manage all the research activities",Government of Andhra Pradesh,Software,KB141,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Need to search any data from a PDF. Data present in the PDF is a combination of English, Telugu & Urdu languages. The font used for Telugu is Shreelipi and for Urdu is Noori Nastaliq. Format of Data present in PDF will be in .pdf format and some data will be in image format. We need to search the data present in English, Telugu & Urdu languages which is present in Unicode as well as in image format. Sample data set has been uploaded.
",,AI and OCR - To search Telugu & Urdu words in PDF present in Unicode as well as in image format,Government of Andhra Pradesh,Software,KB145,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
Visually impaired citizens faces lot of problems with CAPTCHA authentication process. In some of the applications OTP is given as alternative but not with rest of the apps. In some of the apps audio captcha is provided but many citizens find it difficult to decipher. An effective solution for CAPTCHA or an alternative is required to address the problems faced by the visually impaired citizens.,,CAPTCHA/alternative solution for Visually impaired,"Dte of IT & Cyber Security, DRDO",Software,CK146,Miscellaneous,https://www.sih.gov.in/uploads/logo/20191211151605.png
" ""Technology or governance- related challenges/problem faced by Institute 1. Improvement in Patient care Management System (PMS) Patient care management system allows for delivery of real time services that can enable individuals to learn work, socialize and interact with community with without being subject to physical barriers, ex: ERP – (Entrepreneurship Resource Planning) software to be developed for efficient management of academic activities and service activities in the Prosthetics & Orthotics department. The department serve 4 ½ year Bachelor degree course in Prosthetics & Orthotics and Master in Prosthetics & Orthotics. Beside that Prosthetics & Orthotics department has assessment, fabrication and fitment Prosthetics & Orthotics lab. 2. Virtual Technology Virtual Technology means the potential to try out – of - reach experience such as climbing a mountain, skateboarding or swimming in the sea perhaps for the first time. Virtual Technology is useful for Prosthetics & Orthotics. It is useful for enabling physical activities so that patient can improve impairment activities limitation and participation. Through the usage of virtual technology alike in mobile gyroscope or accelerometer. 3. Technology integration and up gradation The main challenges that face both Institute and decision maker is how they are to integrate technologies and services in everyday routine and Institute how can take advantages. Solution for ambulation and during activities of daily living by technology integration in P&O aids appliance for Divyangjan. Software/e-governance 1. One step easy software based Job tracker for disabled (divyangjan) 2. Health guide monitor to check well-being and fitness quotient 3. Portable Stress monitor to devise solutions for stress based on physiological parameters
Design an integrated system to provide above facilities and/or provide a facility to integrate them with eachother.""
",,"Problem Statement From PDUNIPPD (Software)
","Department of Empowerment of Persons with Disabilities, Ministry of Social Justice and Empowerment",Software,PD150,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" The inspection and monitoring of health of embankment for preventive maintenance is a massive and intensive exercise which has huge financial ramifications. The manpower requirements for effectively carrying out such an important exercise is very high keeping in view large number of embankment protection works across river networks which are not easily accessible at times. Therefore, preventive maintenance of embankments needs a technological solutioninvolving participation of localsto safeguard the public property and life.

One such solution may be through the use of embankment mapping and crowdsourced health card. Embankment mapping involves the development of GIS application to analyse the existing river embankment network. The crowd sourced data with images, geo-location and time stamp can be used for the generation of health card of embankment and identifying the critical sections thereof for their preventive maintenance.",https://youtu.be/0TGcTvdBzBA,Embankment Mapping and Crowdsourced Health Card for Preventive Structural Measures,"Central Water Commission, Ministry of Jal Shakti",Software,SK153,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Lack of dynamic crop maps and opacity in water utilisation data prevents proper water accounting at the level of irrigation commands. Information regarding area under various crops is generally available at an aggregate level e.g. district wise cultivated area under individual crops. Non-availability ofactual crop maps preventsspatial visualisation of water utilisation and therefore proper water accounting. National Remote Sensing Centre (NRSC), Hyderabad generates yearly Land Use Land Cover (LULC) maps at a finer resolution of 56m containing land use classes of crop season and number of crops (single/multiple crop). Crowdsourced information from farmers, agricultural extension service providers, local administration and local population may be used for generation of crop type maps for a particular irrigation season which in turn may be used for preparation of water accounts at various spatial scales rangingfrom command of a major to minor irrigation project. Water Accounting at various spatial and temporal scales in commands of irrigation projects will help in informed decision making during the ensuing crop season and leads to optimal utilisation of irrigation water.
",https://youtu.be/5Xl9h3F1Zco,Water Accounting in Irrigation Commands through Crowd Sourced Crop Mapping,"Central Water Commission, Ministry of Jal Shakti",Software,SK155,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Software for computerization of farmer, land details along with beneficiary schemes details
All the records at present are maintained manually by the department which leads to difficulty in access and retrieval of records. Design a block chain based mechanism to ensure frauds are eliminated in land records thereby assisting in maintaining the documents.",https://www.youtube.com/watch?v=-Tg_pE6yCJs&featur,"Software for computerization of farmer, land details along with beneficiary schemes details",Dr. B R Ambedkar Institute of Technology,Software,DS157,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
" Repository of departmental court cases
Design and prepare a court case management software that has facility to record information like adding a case, adding lawyers (have facility select from existing list of lawyers), add invoice for for each hearing and for different heads under which lawyers charge the clients. In short the system should provide end to end management of court case from client perspective and should be easy to use.",,Court Case Management software,Dr. B R Ambedkar Institute of Technology,Software,DS159,Software - Web App development,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
Andaman & Nicobar Islands have a fragile ecosystem with a vivid flora and fauna. Protecting the wildlife is critical to its environment. Increase in wildlife offence like killing of protected animals has increased in the recent past. This app will enable to curb such offence.,,Android App for Geo-tagging location of wildlife and forest offence and sighting of wildlife in the forest areas,Dr. B R Ambedkar Institute of Technology,Software,DS163,Sustainable Environment,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
" ""Develop an app to capture information related to field patrolling officer for forest and wildlife asset for patrolling personnel posted in field. Following information can be recorded (1) location for their safety, (2) asset, location, and other information about the asset like weight, etc depending on the asset.
A major requirement of this app will be offline abilities. It should work without internet access. This can be done by having sync functionality and subsequent edits should be recorded in the app and synced later on.""",,Development of App to capture the field patrolling track of frontline staff in their forest beat jurisdiction,Dr. B R Ambedkar Institute of Technology,Software,DS164,Miscellaneous,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
" Computerization of Library Activities and Book Transactions
Design a system for library management system for Andaman college that has voice based search of books and automatic categorization of books in genres based on title. The system should search from the internet and get information about the book and put them into appropriate category based on title, authors and information collected online.",,Library software for Andaman College,Dr. B R Ambedkar Institute of Technology,Software,DS165,Smart Education,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
" There are proposals for the development of 5 apps for five problem statements viz. Development of app to assist entrepreneurs to avail scheme benefits of the Ministry of Food Processing Industries, find suitable location for setting up of Food Processing Projects, information on various culinary choices, particularly traditional food items, ways and means to reduce food wastage and app for trace ability of Food items from farm to fork. Create a generic configurable app that can help to search above information from the database, provide database schema and migration tools from excel to enable end users to provide required data to the system.",,App Development on Food Processing Problems,Ministry of Food Processing Industries,Software,BK169,Food Technology,https://www.sih.gov.in/uploads/logo/no_image.png
A point based Incentivized Tech Bin will have the facility to generate gift token for the bin users based on the frequency of the user using the bin. Design a system where the user is rewarded with a printed token key each time garbage of more than 1 kg is put into the bin indicating the amount of garbage. Design a gamified portal to provide rewards motivating users to throw more and more garbage.,,Incentivized Tech Bin,Dr. B R Ambedkar Institute of Technology,Software,DS170,Smart Cities,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
" Making the official activities to go paperless - like sending official communications through e-media, automating procedures for protecting the environment. Design a customizable workflow management system to handle submission of documents and approval workflow with facility to sign the document with approval seal. This system should have ability to intimate the concerned party by email and also be manageable by email.",,Paperless Office,Dr. B R Ambedkar Institute of Technology,Software,DS171,Sustainable Environment,https://www.sih.gov.in/uploads/logo/20191028140456.jpg
" Develop an integrated system which can help in preventing cheating in examination.
Use CCTV recordings to automatically detect cheating in the exam hall and mark them for review.",,How to prevent cheating in exams?,CBSE,Software,DA178,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Ghats are the series of steps leading down to a body of water or wharf. Ghats are associated with legends or mythologies.  Ghats & crematoria are considered one of the auspicious locations for this ritual. In hindu traditions, cremation is one of the rites of passage. A riverfront is a region along a river; often in larger cities that border a river, the riverfront will be lined with marinas, docks, parks, trees, or minor attractions. Today many riverfronts are a staple of modernism and city beautification. A citizen centric mobile app can be develop to provide information & awareness about ghats, crematoria & riverfront along Ganga river and its tributaries.",,Know your Ghats mobile app facilitating general public use information on Ghats/crematoria existing along Ganga and its tributaries.,"National Mission for Clean Ganga, DoWR, RD & GR, Ministry of Jal Shakti",Software,PG179,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" At present efforts are made to revise and upgrade the curriculum by the AICTE to train the students to cater to industrial needs.
But there are several factors that prevents the students to reach their zenith and harness their skills as below:
1. Socio-economic background of the student.
2. Peer influence
3. Addiction to cell phones and social media.
4. parents pressure to join a course in which the student is not interested.
5. lack of strong foundation in the fundamentals.
6. General prevalence of Learning Disability.
The current metrics of CGPA, certificates are not enough to accurately assess the capability of a student. 
many students are sacked from the company after one or two years because they are not happy with the performance. Exact Problem:
Every individual has an inherent ability /talent. if only he/she gets a job suiting the skill set the goal of AICTE will be achieved. Higher productivity will be there and youth power has a major role to play in a Nation's growth . Economy will improve. 
The proposed software should identify the skill set and assess the capacity of a student. It should recommend the suitable candidates against a requirement from the industry.",,Job recommender system. To design a software application for assessing the abilities of a student with respect to employability.,Govt of Puducherry,Software,DK180,Miscellaneous,https://www.sih.gov.in/uploads/logo/20191206110247.jpg
" Challenge 1
 Generation of precise answers for the questions posed by the learner.
       - Given a learning resource ( a corpus of documents) the application should generate answers at various levels of granularity (details) for the questions posed by the learner. The challenge is the documents are unstructured and generating precise answers for the questions posed would be a challenge.
     -The types of questions to be handled could be objective or subjective. Based on the marks the answers retrieved should be shorter or lengthier.
    -  Adding cues of important portion of the learning resource(highlighting of important points)
  Challenge 2 
Automatic generation of PPT and handouts for the facilitator to assist in dissemination of content to the learners. 
- For generating the PPT automatically the important sentences/parts of the learning should be identified to the satisfaction of the facilitator.

Motivation: 
-To improve the learning capabilities of slow learners and less motivated lazy students/wards
-To save time in preparing for the exams
-To save class/course delivery time of the facilitator
- would help the parents involved in training their wards though they are not knowledgeable in a subject.",,Domain specific Learner facilitator Assist Software Given a learning resource the application should assist the learner in preparing  for exams.  For the facilitator the teaching material should be prepared automatically.  The learning resource could be electronic materials on a particular subject.,Govt of Puducherry,Software,DK181,Smart Education,https://www.sih.gov.in/uploads/logo/20191206110247.jpg
" To develop a software tool (may be an app/plug-in) that archives the highlighted text from different sources and enable the user to retrieve according to his requirement wherever and whenever required from centralized storage. 
Description:
Now a days the flow of information have been exponentially increased, and the information flow from a variety of sources. When a reader needs to highlight the textual information and use it as and when it is required at later point in time, there exists no tool for him. It becomes even more complex when the source of information is from across multiple platforms, gadgets and applications. Therefore, Bibliophile Companion is proposed to address the problem. The important challenge in this problem is, the information source may be of any type (e.g. .pdf, .doc, .html, etc) and the source of information may be from any environment. To have a centralized access of stored information, cloud infrastructure based solution is to be provided.",,"""Bibliophile Companion -  A companion similar to an active agent, that helps the reader to organize and retrieve the highlighted text, book marked page and credentials of the content source in cloud across heterogeneous platforms, gadgets and applications.  """,Govt of Puducherry,Software,DK182,Smart Education,https://www.sih.gov.in/uploads/logo/20191206110247.jpg
" 1) Mechanism / tool that retrieves the information relating to transmission of a disputed posting and immediate deletion of the same within no time from WhatsApp messenger.

2) Mechanism / tool that capture the GPS coordinates & other credentials of certain message / posting posted using WhatsApp / Facebook and other messaging APPs.

3) Mechanism / tool that retrieves the initial user of certain posting in WhatsApp and Facebook using message ID.

4) Mechanism / tool that pings any social media account and capture the IP address and other credentials associated with that account.

5) Mechanism / tool / device that sends a signal to the target mobile and calculate the distance and direction from the source.

Contact: Superintendent of Police, Cyber Crimes, CID

email id: cybercrimes-cid@ap.gov.in",,solutions required to solve the challenges faced by Law Investigating Officers (LEOs) in Cyber Crimes:,Government of Andhra Pradesh,Software,KB186,Smart Communication,https://www.sih.gov.in/uploads/logo/no_image.png
" Andhra Pradesh Pollution Control Board (APPCB) is a statutory organization entrusted to implement Environmental Laws and control pollution in the state of Andhra Pradesh through regulations.

APPCB is presently using cloud-based software to connect all the analyzers installed at the industries to obtain real time data. The data received is analyzed to monitor the exceedances against the prescribed standards for each industry. APPCB looks forward to bringing in all polluting industries in the state to enhance the existing system more transparent and effective monitoring of emissions and effluents.

As an extensively modernizing state, Andhra Pradesh is developing its industrial sector vigorously. Industries being significant source of both emission and effluents, are required to be monitored stringent monitoring. 

APPCB uses monitoring tools namely Continuous Emission Monitoring System (CEMS) and Continuous Effluent Quality Monitoring System (CEQMS) to check release of polluting emission and effluent to the environment. CEMS and CEQMS comprises analytical components and are continuous real time tools, providing monitoring data every minute.

Although there is a system of real time monitoring of polluting emissions and effluents from industries, APPCB is trying to develop a more efficient system that can provide authentic Continuous Emission Monitoring System (CEMS) and Continuous Effluent Quality Monitoring System (CEQMS). CEMS and CEQMS are calibrated in such a way that it collates data from different types of industries falling under different make and model as well as pollution category. Since each industrial sector under each pollution category may have set emission and effluent standards as prescribed by Central Pollution Control Board (CPCB) or standardized by APPCB as per the local environmental conditions, ensuring reliability and consistency of the data received through CEMS and CEQMS are important.

Other areas of improvement for implementation of CEMS/CEQMS are as follows: Ensuring quality assurance of equipment and suitable technology, most reliable method of installation of analyzers, effectual reliable operation, ensuring credible data, viable data transfer calibration and maintenance of the equipment etc.

Additionally, enhancement of the existing online monitoring system is also required for development of an unswerving emission and effluent database for the state of Andhra Pradesh. Above mentioned are the need of the hour for Andhra Pradesh state as 13 town/cities in the state are already listed in the list of Non-Attainment cities w.r.t air pollution and five river stretches are categorized as polluted. It is crucial for APPCB as the key regulatory agency for pollution in the state.

Current System using in detailed:
Andhra Pradesh Pollution Control Board uses cloud-based software to connect all the analyzers installed at the industries to obtain real time data. The data received is analyzed to monitor the exceedances against the prescribed standards for each industry. APPCB looks forward to bringing in all polluting industry categories existing in the state to be adequately monitored to check pollution in the long run.

Significant indicators taken into consideration under CEMS are the emission and effluent quality standard limits as prescribed by the Board based on the industry type, category, local conditions and the characteristics of the emission and effluents by the industry.

APPCB envisages implementing Internet of Things (loT) technology for obtaining of authentic and reliable data directly from the analyzers installed at the industry rather than the data from the intermediary system.",,APPCB looks forward to bringing in all polluting industries in the state to enhance the existing system more transparent and effective monitoring of emissions and effluents.  APPCB envisages implementing Internet of Things (loT) technology for obtaining of authentic and reliable data directly from the analyzers installed at the industry rather than the data from the intermediary system.,Government of Andhra Pradesh,Software,KB189,Sustainable Environment,https://www.sih.gov.in/uploads/logo/no_image.png
" The animal health data base shall contribute to increased public awareness regarding the occurrence of diseases, so that further recurrence could be curtailed. The case sheet data base should be accessible to all the professionals and serve as a knowledge base for them. 
         The Medicines Requirements to treat different ailing animals and their availability in the nearby market when digitized , serve as guide to the manufacturers about the types of diseases prevalent and the kind of medicines in use, so that manufacturers might be able to tune up their production levels to meet the market demands. 
          

Problem Data set can be: Current veterinary drug indexes will help",,Livestock Health Database,Government of Andhra Pradesh,Software,KB196,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/no_image.png
" Data base consisting of the details of an Outbreak in an area, the morbidity, mortality, the reparative and managemental measures adapted in controlling the disease, the diagnostic procedures or vaccination regimen followed shall serve as guide to sellers or buyers who come to that particular geographical area for livestock purchasing or migration from different place. The road, rail and see routes, the automobiles owners shall be alerted when they traverse through these areas for additional precautionary measures to curb the further spread of the disease. Used, Death, Birth, Census- Culled animals, Zoonotic incidences, (Text alerts to people and areas tangent the area of OBR), could be useful to prevent further recurrence and spread of zoonotic diseases, with potential to cause human deaths. The incidences could be recorded as zoonotic disease data base with particulars about number of human deaths occurred in area for future reference and guidance to design suitable policies.

          The information about diseases shall be published for public opinion and acceptance. For example, information published on the occurrence of Anthrax in sheep would alert other animal owners. This data base shall be linked with census data base, so that status of deaths during an outbreak shall be in the notice of the public. Thus unvaccinated animal owners shall be alerted through text messages to take-up vaccinations, so that further outbreaks may be averted.

Problem Data Set can be: Animal Husbandry Departmental  Animal disease diagnostic laboratories have relevant data",,Disease Reporting System,Government of Andhra Pradesh,Software,KB198,Smart Communication,https://www.sih.gov.in/uploads/logo/no_image.png
" Works constructed under the PMGSY scheme are to be maintained by the contractor as per the PMGSY guidelines.
Pavement Condition Index is required to be performed to identify the road condition and further to take the
maintenance or upgradation of the work.
Through EMARG and PMGSY-III, NRIDA has collected a vast collection of pictures of roads. These pictures are
collected while doing inspection of roads or collection of PCI through visual inspections. An AI assisted module
would be able to automatically assess the picture and identify common issues such as shoulder clearance,
potholes, road furniture etc.
Requirement is of a solution where there should be a provision to capture the chainage wise pavement condition
index. Use of open source software and existing neural network is encouraged.
Train a machine learning model, computer vision etc. which is able to identify common issues with pavement based
on photograph(s) per road alone.
Data Required: Yes (Annotated images to be released by NRIDA) Data Required: Yes (Annotated images to be released by NRIDA)",,Automatic Assessment of Pavement condition based on road photographs,Ministry of Rural Development,Software,MK199,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" Images are captured as part of validation/proof under various programs for separate reasons.

* Images of houses being constructed under PMAY-G, works/assets created under MGNREGA, PDFs (Placement documents, Offer letter,
Salary Slips etc.) being uploaded under DDUGKY validating proof of employment, Pictures of Works like Road Construction/Upgradation,
Drain Construction/Upgradation, Canal Irrigation Construction etc. under Rurban.PMGSY Program are captured.
Pics are majorly being uploaded through Mobile App having timestamp & geo tagged data. Physical verification/review of images is done for
each pic. Collectively, over 8 crore images have been collected in multiple DBs.

It is required that an automated solution (including Deep learning, image processing algorithms, AI algorithms etc.) be developed which is
able to automatically identify the type of image (preferred 3D capture), classify and segment, validate and categorize nature of image type,
identify the object, define boundaries etc. highlight duplicates (Plagiarism) , invalid pics etc. A software may be developed which at time of
photo capture is able to capture, analyse and classify pixels, read text (OCR, Google lens etc.) and help in defining type. Would be helpful if it
is able to calculate length, breadth, width (depth) etc. also.

A holistic solution (Automation) is required which can help address these gaps, simplify the process and provide better results. The solution
may reference 3D image (GIF), image processing technologies, image analysis, optimization, segmentation, and restoration, algorithm,
computer vision and image processing (CVIP) technologies etc. Would help if solution devised is light weight (size of photo capture) and using
open source tools.
Sample Data Required: No",,"Automation mechanism for image capturing, processing, standardization, evaluation, classification leading to better decision making results for various programs",Ministry of Rural Development,Software,MK200,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" MGNREGA program houses a large volume of data on various parameters across the country (excess
of 50 TBs) consisting of year on year data starting primarily FY 2005-06 till date. As part of reporting
and monitoring activities, the program has a large and complex reporting framework consisting of
reports count in excess of 600 reports.
It is required that a solution be devised which is able to streamline the reporting process (generation
of reports) and is able to highlight/eliminate duplicate reports, properly categorize reports, highlight
high/medium/low importance reports etc.
An on the fly dynamic facility for generation of reports by selection required filters/parameters may
also be conceptualized, developed and implemented with minimal gaps and errors.
Sample Data Required: Yes (Reports, available in public domain)",,Streamlining of Reporting Framework for MGNREGA reports,Ministry of Rural Development,Software,MK202,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Under MGNREGA, wage payment is made to workers doing unskilled work and subsequent creation of assets. A muster
roll is prepared (consisting of list of workers who are working on a particular asset/work ) and attendance is entered.
Based on no of days attended/worked, the payment is released.
Currently capturing of attendance is a manual process where a physical entry is made by the work supervisor and no
proper attendance tracking is done. There is no checking or effective/efficient verification process involved.
An intelligent attendance solution is desired to be developed (out of the box thinking will be appreciated ad not just
limited to a Mobile App based solution) which is feasible, less complex in implementation, address all challenges and
eliminates the gaps in current system promoting transparency and less corruption/fraudulent entries. The system
developed/proposed should be fool proof, preferred automated with minimal manual intervention. Latest technological
interventions (use of Advanced Analytics, BI, AI, Machine learning etc.) should be referenced for developing a state of
the art solution
Sample Data Required: No",,Intelligent attendance solution for MGNREGA workers,Ministry of Rural Development,Software,MK203,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Data at ground level is captured for various schemes across multiple parameters/indicators. This data is large
and consists of physical, financial, beneficiary, geographical details etc. under various schemes year on year.
Since different programs have different methods of data collection, many a times it has been observed that
data is not consistent, consists of erroneous entries etc.
A solution is required which is able to identify types of noise in data collected and also highlight
usage/propose implementation of best practices/latest technological interventions followed for data collection
and making data entry rectifications.
Sample Data Required: No",,Geography based analysis for noise identification in large and complex data gathered,Ministry of Rural Development,Software,MK204,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Department of rural development is currently running several multiple schemes, sub-schemes and programs at a
national level primarily focusing on the development of rural poor. As part of it, it has housed several in-house
developed website/portals for information dissemination, reporting etc. for catering to varied needs including
information requirements of various applicable stakeholders.

It is required that the websites be made compliant towards the requirements and cater to needs of the
differently able citizens as well. E.g. text to speech, hearing impaired, speech impaired, visually challenged etc.
Features (technology enabled) to be introduced in website so that it is easy to use, readily accessible and
understandable and convenient to everyone including best practices/standards and global innovation
techniques. E.g. Google

Sample Data Required: No",,Making websites meaningful for differently Abled citizens with open source tools,Ministry of Rural Development,Software,MK205,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
